structure_id,fire,damage,roof_material,side_material,ground_deck_material,elevated_deck_material,eaves,vent_screen,window_pane,patio_cover,fence,coordinate_x,coordinate_y
1,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,127558.024472148,-440506.96041563
2,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,combustible,combustible,135679.322181807,-440647.334980967
3,palisades,destroyed (>50%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,127304.874714857,-440364.137942616
4,palisades,affected (>0-10%),masonry,masonry,masonry,masonry,n/a,<= 1/8 in,multi pane,non-combustible,non-combustible,125211.610352923,-440718.168337882
5,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,n/a,n/a,n/a,combustible,124095.302390335,-440991.610427715
6,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,multi pane,n/a,combustible,131583.502037143,-440181.307216527
7,palisades,destroyed (>50%),metal,masonry,n/a,n/a,n/a,n/a,multi pane,n/a,combustible,131983.879622593,-440050.223542964
8,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,135742.835401433,-440766.644149976
9,palisades,destroyed (>50%),asphalt,masonry,n/a,composite,enclosed,> 1/8 in,multi pane,n/a,combustible,131525.151631506,-440209.952697143
10,palisades,destroyed (>50%),tile,masonry,n/a,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,131599.876941797,-440475.111670766
11,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,<= 1/8 in,multi pane,n/a,combustible,135759.78457567,-440025.632439747
12,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,135757.297813344,-440813.84066548
13,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,n/a,125820.378461024,-440962.76480964
14,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,enclosed,n/a,multi pane,non-combustible,n/a,131409.365667355,-440625.487472849
15,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,multi pane,n/a,combustible,135783.729514073,-439952.348160053
16,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,n/a,combustible,non-combustible,131582.346278051,-440069.608099725
17,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,multi pane,non-combustible,combustible,131953.09777434,-440431.97248677
18,palisades,no damage,asphalt,wood,n/a,n/a,unenclosed,> 1/8 in,n/a,n/a,n/a,135646.516946078,-440228.986107223
19,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,n/a,135736.633335568,-440112.257896308
20,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,combustible,131713.849686735,-440113.763198368
21,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,non-combustible,128032.334861071,-441002.735014413
22,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,n/a,non-combustible,135727.363713656,-440236.410577778
23,palisades,no damage,asphalt,wood,n/a,n/a,enclosed,n/a,multi pane,combustible,non-combustible,131878.609813031,-440432.332939874
24,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,enclosed,n/a,multi pane,n/a,non-combustible,135618.632881189,-440638.504406292
25,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,135815.091712562,-441040.314176625
26,palisades,no damage,asphalt,masonry,masonry,wood,enclosed,n/a,multi pane,combustible,combustible,132273.155517351,-440266.485311667
27,palisades,minor (10-25%),asphalt,masonry,n/a,n/a,unenclosed,<= 1/8 in,multi pane,non-combustible,non-combustible,131425.682849229,-440574.389926162
28,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,multi pane,n/a,n/a,135895.350447244,-439811.745348353
29,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,unscreened,single pane,n/a,combustible,131800.962521098,-439891.688613921
30,palisades,no damage,tile,masonry,masonry,n/a,n/a,n/a,single pane,non-combustible,non-combustible,136778.753073043,-440767.954055894
31,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,135637.007616699,-440881.184839131
32,palisades,no damage,asphalt,wood,n/a,n/a,unenclosed,<= 1/8 in,multi pane,n/a,n/a,132725.906635417,-440039.624645723
33,palisades,destroyed (>50%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,127479.75753986,-440384.954868002
34,palisades,destroyed (>50%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,n/a,127577.702112697,-440615.709341329
35,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,132683.113830378,-440390.623363037
36,palisades,no damage,tile,masonry,n/a,n/a,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,132054.601183752,-439813.267690197
37,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,n/a,multi pane,combustible,non-combustible,131382.308299129,-440296.316578433
38,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,135772.758896042,-440031.155381473
39,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,non-combustible,131834.11682728,-439742.338453883
40,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,combustible,131427.061934577,-440437.316485085
41,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,n/a,non-combustible,127400.262410018,-440289.171413505
42,palisades,no damage,asphalt,masonry,n/a,n/a,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,132080.761629357,-439946.289588127
43,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,non-combustible,131623.092166334,-440104.457355365
44,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,> 1/8 in,n/a,n/a,n/a,135620.587856674,-441042.193948986
45,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,131324.774549845,-440294.477834035
46,palisades,destroyed (>50%),metal,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,134640.866676685,-440795.728283487
47,palisades,no damage,masonry,metal,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,124379.846880667,-441034.256580772
48,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,combustible,136106.22434504,-439240.154983884
49,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,single pane,n/a,n/a,125797.859831357,-440374.464211792
50,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,multi pane,n/a,n/a,132548.570698805,-440515.708172398
51,palisades,no damage,asphalt,masonry,n/a,n/a,n/a,n/a,multi pane,combustible,combustible,131967.149612458,-440039.384356212
52,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,131894.812843498,-440120.924560346
53,palisades,minor (10-25%),masonry,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,n/a,combustible,124210.812579742,-441007.031090768
54,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,127657.887041698,-440925.052422449
55,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,135791.255193482,-439750.551185593
56,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,enclosed,n/a,n/a,n/a,non-combustible,127527.424913069,-440517.232046861
57,palisades,no damage,metal,masonry,masonry,wood,enclosed,n/a,multi pane,n/a,n/a,135550.153479081,-440765.395537183
58,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,n/a,136065.459951199,-439163.918452585
59,palisades,destroyed (>50%),tile,masonry,masonry,masonry,enclosed,n/a,multi pane,non-combustible,non-combustible,135738.497886802,-440199.353349483
60,palisades,no damage,asphalt,wood,wood,wood,unenclosed,<= 1/8 in,multi pane,n/a,non-combustible,132272.589855355,-440320.698669221
61,palisades,destroyed (>50%),tile,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,non-combustible,136071.331791107,-439239.66086253
62,palisades,destroyed (>50%),n/a,masonry,masonry,masonry,n/a,n/a,multi pane,n/a,combustible,135727.580969398,-440812.425846627
63,palisades,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,132223.438408482,-439718.839774797
64,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,128344.104358376,-440893.913455131
65,palisades,no damage,metal,masonry,masonry,n/a,enclosed,n/a,multi pane,non-combustible,non-combustible,137436.930461672,-439893.336019604
66,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,128057.067753175,-440903.019481624
67,palisades,destroyed (>50%),asphalt,masonry,n/a,wood,enclosed,n/a,multi pane,combustible,combustible,131483.261822557,-440235.350219505
68,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,> 1/8 in,n/a,n/a,non-combustible,135717.09153628,-439992.998188613
69,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,n/a,non-combustible,135791.636048484,-440731.130113201
70,palisades,minor (10-25%),asphalt,masonry,wood,n/a,enclosed,n/a,multi pane,n/a,n/a,131677.759810632,-440141.818290347
71,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,non-combustible,135600.422664729,-440762.099244894
72,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,non-combustible,135740.269375871,-440134.988150779
73,palisades,destroyed (>50%),n/a,masonry,n/a,wood,n/a,> 1/8 in,n/a,n/a,combustible,131594.444492514,-440546.926082544
74,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,non-combustible,131747.32330868,-440014.645814158
75,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,single pane,n/a,n/a,127766.988097636,-440898.213500053
76,palisades,destroyed (>50%),masonry,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,127436.689303022,-440349.648426751
77,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,combustible,132310.084227621,-440155.208044233
78,palisades,no damage,wood,wood,wood,wood,unenclosed,n/a,single pane,n/a,non-combustible,137376.749326924,-439794.947413193
79,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,> 1/8 in,single pane,combustible,n/a,123858.374363845,-440847.432832714
80,palisades,affected (>0-10%),asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,multi pane,combustible,combustible,131890.387656202,-440057.086674113
81,palisades,affected (>0-10%),metal,wood,n/a,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,137406.901770154,-439791.593845472
82,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,combustible,131900.895794433,-440004.171283275
83,palisades,destroyed (>50%),n/a,masonry,masonry,masonry,n/a,> 1/8 in,single pane,n/a,non-combustible,135727.540550025,-440838.481093641
84,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,n/a,combustible,n/a,128270.384342789,-441065.353876071
85,palisades,destroyed (>50%),tile,masonry,n/a,wood,n/a,n/a,single pane,n/a,n/a,127886.147803678,-440990.333659668
86,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,combustible,n/a,131962.794099671,-440078.730370738
87,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,132266.154734625,-439800.637733536
88,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,<= 1/8 in,multi pane,n/a,combustible,131969.228343046,-439837.270781202
89,palisades,affected (>0-10%),tile,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,125011.907845151,-440828.496828618
90,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,single pane,n/a,n/a,135659.202984453,-440767.701828724
91,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,combustible,132674.823587924,-440371.771187227
92,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,multi pane,n/a,combustible,131753.949867473,-439892.675034141
93,palisades,no damage,asphalt,masonry,masonry,wood,enclosed,> 1/8 in,multi pane,combustible,combustible,132067.442556848,-439664.385202564
94,palisades,destroyed (>50%),masonry,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,136243.814367067,-439560.468092604
95,palisades,destroyed (>50%),asphalt,masonry,n/a,masonry,n/a,> 1/8 in,multi pane,n/a,n/a,131452.035876474,-440250.205067346
96,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,unenclosed,n/a,multi pane,non-combustible,non-combustible,125509.414837938,-440811.743010674
97,palisades,destroyed (>50%),metal,metal,n/a,n/a,n/a,> 1/8 in,n/a,n/a,n/a,127667.151395973,-440573.761928946
98,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,n/a,combustible,131826.574520079,-440072.366478577
99,palisades,destroyed (>50%),asphalt,wood,n/a,n/a,unenclosed,n/a,n/a,combustible,combustible,124042.799979535,-440983.675922412
100,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,> 1/8 in,single pane,combustible,n/a,135675.715236169,-440070.933771743
101,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,<= 1/8 in,n/a,n/a,combustible,132667.213482451,-440339.857252546
102,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,combustible,132016.124081795,-440133.927083565
103,palisades,destroyed (>50%),tile,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,non-combustible,136266.939994681,-439581.625287028
104,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,127771.311476178,-440805.943013493
105,palisades,no damage,tile,masonry,n/a,n/a,n/a,n/a,multi pane,combustible,combustible,127862.658241556,-440940.75362308
106,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,combustible,n/a,135848.949524896,-440758.938165981
107,palisades,no damage,asphalt,masonry,masonry,wood,enclosed,> 1/8 in,single pane,combustible,combustible,132546.689565933,-440348.067354426
